"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1D_T2M_X",1757,1920-07-08,27.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-09,22.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-10,17.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-11,20.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-12,26.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-13,23.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-14,19,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-15,21.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-16,23.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-17,26.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-18,27.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-19,20.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-20,21.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-21,22.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-22,27.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-23,21.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-24,22.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-25,17.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-26,23.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-27,18.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-28,18.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-29,19.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-30,19.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-31,19.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-01,20.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-02,21.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-03,25.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-04,22.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-05,28.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-06,19.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-07,18.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-08,18.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-09,23.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-10,20.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-11,20,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-12,20.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-13,18.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-14,19.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-15,18.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-16,21,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-17,21.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-18,25.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-19,26.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-20,17.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-21,18.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-22,19.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-23,18.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-24,16.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-25,18.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-26,17.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-27,16.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-28,17.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-29,16.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-30,14.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-08-31,16.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-01,19.3,5,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-02,15.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-03,15.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-04,19.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-05,15.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-06,15.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-07,15.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-08,13.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-09,15.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-10,17.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-11,15.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-12,16.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-13,16.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-14,16.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-15,18.9,0,1
